District,Name,Elected,Left,Left_num
Berkshire,David Capeless,2004,2019,2019
Berkshire,Gerard Downing,1991,2003,2003
Bristol,Thomas M. Quinn III,2015,Present,2022
Bristol,Sam Sutter,2007,2014,2014
Bristol,Paul F. Walsh Jr.,1990,2006,2006
Cape and Islands,Michael O'Keefe,2003,Present,2022
Cape and Islands,Philip A. Rollins,1970,2002,2002
Essex,Jonathan W. Blodgett,2003,Present,2022
Hampden,Anthony D. Gulluni,2015,Present,2022
Hampden,Mark Mastroianni,2011,2014,2014
Hampden,William M. Bennett,1991,2011,2011
Middlesex,Marian Ryan,2014,Present,2022
Middlesex,Gerard Leone,2007,2013,2013
Middlesex,Martha Coakley,1999,2007,2007
Norfolk,Michael W. Morrissey,2011,Present,2022
Norfolk,Bill Keating,1999,2011,2011
Northwestern,David E. Sullivan,2011,Present,2022
Northwestern,Elizabeth Scheibel ,1993,2011,2011
Plymouth,Timothy J. Cruz,2001,Present,2022
Plymouth,Michael J. Sullivan,1995,2001,2001
Suffolk,Daniel F. Conley,2002,2018,2018
Suffolk,Ralph C. Martin II,1992,2002,2002
Worcester,"Joseph D. Early, Jr.",2007,Present,2022
Worcester,John Conte,1976,2007,2007
